dataset,task_type,model,metric,value,scenario,source
sonar,classification,RF,ACC,0.8412698412698413,real_sonar,real
sonar,classification,ET,ACC,0.8571428571428571,real_sonar,real
sonar,classification,GBC,ACC,0.7936507936507936,real_sonar,real
sonar,classification,LogRegL2,ACC,0.6984126984126984,real_sonar,real
sonar,classification,RLT,ACC,0.5396825396825397,real_sonar,real
winequality-red,classification,RF,ACC,0.6520833333333333,real_winequality-red,real
winequality-red,classification,ET,ACC,0.6625,real_winequality-red,real
winequality-red,classification,GBC,ACC,0.63125,real_winequality-red,real
winequality-red,classification,LogRegL2,ACC,0.5895833333333333,real_winequality-red,real
winequality-red,classification,RLT,ACC,0.425,real_winequality-red,real
winequality-white,classification,RF,ACC,0.6768707482993197,real_winequality-white,real
winequality-white,classification,ET,ACC,0.6768707482993197,real_winequality-white,real
winequality-white,classification,GBC,ACC,0.5768707482993197,real_winequality-white,real
winequality-white,classification,LogRegL2,ACC,0.5360544217687074,real_winequality-white,real
winequality-white,classification,RLT,ACC,0.4489795918367347,real_winequality-white,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RF,ACC,0.8194444444444444,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,ET,ACC,0.875,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,GBC,ACC,0.8611111111111112,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,LogRegL2,ACC,0.8611111111111112,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT,ACC,0.5,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ozone,classification,RF,ACC,0.7352941176470589,real_ozone,real
ozone,classification,ET,ACC,0.7647058823529411,real_ozone,real
ozone,classification,GBC,ACC,0.7058823529411765,real_ozone,real
ozone,classification,LogRegL2,ACC,0.7058823529411765,real_ozone,real
ozone,classification,RLT,ACC,0.6176470588235294,real_ozone,real
BreastCanDT,classification,RF,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,ET,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,GBC,ACC,0.9649122807017544,real_BreastCanDT,real
BreastCanDT,classification,LogRegL2,ACC,0.9766081871345029,real_BreastCanDT,real
BreastCanDT,classification,RLT,ACC,0.6257309941520468,real_BreastCanDT,real
scenario1_p200,classification,RF,ACC,0.6666666666666666,scenario1,simulated
scenario1_p200,classification,ET,ACC,0.6666666666666666,scenario1,simulated
scenario1_p200,classification,GBC,ACC,0.7333333333333333,scenario1,simulated
scenario1_p200,classification,LogRegL2,ACC,0.6333333333333333,scenario1,simulated
scenario1_p200,classification,RLT,ACC,0.5333333333333333,scenario1,simulated
scenario1_p500,classification,RF,ACC,0.43333333333333335,scenario1,simulated
scenario1_p500,classification,ET,ACC,0.4,scenario1,simulated
scenario1_p500,classification,GBC,ACC,0.6333333333333333,scenario1,simulated
scenario1_p500,classification,LogRegL2,ACC,0.36666666666666664,scenario1,simulated
scenario1_p500,classification,RLT,ACC,0.5333333333333333,scenario1,simulated
scenario1_p1000,classification,RF,ACC,0.5666666666666667,scenario1,simulated
scenario1_p1000,classification,ET,ACC,0.6333333333333333,scenario1,simulated
scenario1_p1000,classification,GBC,ACC,0.6333333333333333,scenario1,simulated
scenario1_p1000,classification,LogRegL2,ACC,0.4,scenario1,simulated
scenario1_p1000,classification,RLT,ACC,0.5333333333333333,scenario1,simulated
sonar,classification,RF,ACC,0.8412698412698413,real_sonar,real
sonar,classification,ET,ACC,0.8571428571428571,real_sonar,real
sonar,classification,GBC,ACC,0.7936507936507936,real_sonar,real
sonar,classification,LogRegL2,ACC,0.6984126984126984,real_sonar,real
sonar,classification,RLT,ACC,0.5396825396825397,real_sonar,real
winequality-red,classification,RF,ACC,0.6520833333333333,real_winequality-red,real
winequality-red,classification,ET,ACC,0.6625,real_winequality-red,real
winequality-red,classification,GBC,ACC,0.63125,real_winequality-red,real
winequality-red,classification,LogRegL2,ACC,0.5895833333333333,real_winequality-red,real
winequality-red,classification,RLT,ACC,0.425,real_winequality-red,real
winequality-white,classification,RF,ACC,0.6768707482993197,real_winequality-white,real
winequality-white,classification,ET,ACC,0.6768707482993197,real_winequality-white,real
winequality-white,classification,GBC,ACC,0.5768707482993197,real_winequality-white,real
winequality-white,classification,LogRegL2,ACC,0.5360544217687074,real_winequality-white,real
winequality-white,classification,RLT,ACC,0.4489795918367347,real_winequality-white,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RF,ACC,0.8194444444444444,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,ET,ACC,0.875,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,GBC,ACC,0.8611111111111112,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,LogRegL2,ACC,0.8611111111111112,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ReplicatedAcousticFeatures-ParkinsonDatabase,classification,RLT,ACC,0.5,real_ReplicatedAcousticFeatures-ParkinsonDatabase,real
ozone,classification,RF,ACC,0.7352941176470589,real_ozone,real
ozone,classification,ET,ACC,0.7647058823529411,real_ozone,real
ozone,classification,GBC,ACC,0.7058823529411765,real_ozone,real
ozone,classification,LogRegL2,ACC,0.7058823529411765,real_ozone,real
ozone,classification,RLT,ACC,0.6176470588235294,real_ozone,real
BreastCanDT,classification,RF,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,ET,ACC,0.9707602339181286,real_BreastCanDT,real
BreastCanDT,classification,GBC,ACC,0.9649122807017544,real_BreastCanDT,real
BreastCanDT,classification,LogRegL2,ACC,0.9766081871345029,real_BreastCanDT,real
BreastCanDT,classification,RLT,ACC,0.6257309941520468,real_BreastCanDT,real
scenario1_p200,classification,RF,ACC,0.6666666666666666,scenario1,simulated
scenario1_p200,classification,ET,ACC,0.6666666666666666,scenario1,simulated
scenario1_p200,classification,GBC,ACC,0.7333333333333333,scenario1,simulated
scenario1_p200,classification,LogRegL2,ACC,0.6333333333333333,scenario1,simulated
